termine,definizione
Add-on,Parte di software aggiuntiva che estende le funzionalità e/o caratteristiche del software di base.
Agile,"Metodo di sviluppo software caratterizzato da: formazione di team di sviluppo piccoli, poli-funzionali e auto-organizzati, lo sviluppo iterativo e incrementale, la pianificazione adattiva, e il coinvolgimento diretto e continuo del cliente nel processo di sviluppo."
Apache Kafka,Piattaforma open source per lo stream processing.
API,"Con Application Programming Interface si intende un insieme di procedure e funzioni offerte ai programmatori per permettere il riutilizzo di blocchi di codice, spesso relative ad un particolare prodotto. "
API REST,"Representational State Transfer, stile architetturale per esporre programmi per mezzo di protocolli esistenti, tipicamente HTTP."
AWS,Amazon Web Services è un insieme di servizi di cloud computing che compongono la piattaforma on demand offerta dall'azienda Amazon
Back end,"Back end è un termine largamente utilizzato per caratterizzare le interfacce che hanno come destinatario un programma. Una applicazione back end è un programma con il quale l’utente interagisce indirettamente, in generale attraverso l’utilizzo di una applicazione front end."
Blockchain,"Struttura dati condivisa ed immutabile, composta da un registro di blocchi concatenati in ordine cronologico. I blocchi una volta inseriti non sono più modificabili. Questa tecnologia, assimilabile ad un database distribuito, è gestito da una rete di nodi, ognuno dei quali possiede una copia dei dati.  Ogni transazione è regolata da un protocollo che ne verifica l'autenticità e la approva o meno. Una transazione approvata non è più modificabile e viene aggiunta alla blockchain. Con questo sistema non è necessaria la presenza di un'autorità esterna alla transazione che faccia da garante."
Capitolato,"Il capitolato è un documento tecnico, in genere allegato ad un contratto di appalto, che serve a definire le specifiche tecniche delle opere che andranno ad eseguirsi per effetto del contratto stesso, di cui è solitamente parte integrante."
Changelog,"Tabella delle modifiche di un documento. Indica la versione del documento, la data di modifica, chi ha prodotto
la modifica e una descrizione della stessa."
Continuous delivery,Definisce la metodologia attraverso la quale si hanno brevi cicli di rilascio. In questo modo è possibile rilasciare in modo affidabile il software in qualsiasi momento.
Continuous integration,"E’ una pratica di sviluppo che consiste nell’integrare frequentemente le modifiche locali degli sviluppatori al
ramo condiviso principale. Questa pratica permette di minimizzare problemi integrazione corposa."
Cubit,Custom token\glosp di Ethereum\glosp previsto nel capitolato\glosp C6.
DApp/ÐApp,"Applicazione decentralizzata che gestisce gli smart contracta\glo, arricchendo le transazioni con regole user-defined, garantendo maggiore sicurezza e controllo. Solitamente una ÐApp è open-source e  gestisce operazioni con dati criptati."
Dashboard,"È una postazione o a una pagina web basata su una tecnologia che visualizza informazioni relative a un business, raccolte in tempo reale da varie fonti nel settore. I dati vengono visualizzati in tempo reale nella pagina usando grafici, riepiloghi e liste."
DevOps,"Nasce dalla sinergia tra cultura aziendale, pratiche e strumenti e fornisce a un'organizzazione l'abilità di sviluppare applicazioni e servizi con la massima agilità."
Docker,"Software per la creazione, sviluppo ed esecuzione di applicazione attraverso l’uso di container. I Container
permettono di incorporare un’applicazione e tutte le parti necessarie ad essa in un unico pacchetto."
